Date,Close/Last,Volume,Open,High,Low
10/10/2023,172.53,5843995,172.08,172.795,171.90
10/09/2023,172.82,10201550,171.18,172.86,171.075
10/06/2023,169.70,9948433,169.17,170.23,168.50
10/05/2023,168.83,6970219,168.74,169.00,168.30
10/04/2023,169.14,10034600,169.21,169.41,168.50
10/03/2023,169.16,11459840,169.14,170.08,168.745
10/02/2023,169.65,12706030,170.23,170.46,169.50
09/29/2023,171.45,10427380,173.92,174.03,171.265
09/28/2023,173.23,10061920,173.91,174.135,172.32
09/27/2023,174.10,10919580,175.27,175.32,173.70
09/26/2023,176.28,7181080,176.825,177.14,176.16
09/25/2023,177.70,5582074,178.41,178.71,177.64
09/22/2023,178.62,3637075,178.65,178.95,178.51
09/21/2023,178.05,7573300,177.86,178.485,177.69
09/20/2023,179.35,9330262,179.34,180.66,179.32
09/19/2023,179.22,4225102,179.54,179.65,179.03
09/18/2023,179.39,5049308,178.82,179.41,178.38
09/15/2023,178.34,5620888,178.55,179.105,178.34
09/14/2023,177.17,6184382,176.50,177.39,176.36
09/13/2023,177.08,3874788,177.53,177.75,177.035
09/12/2023,177.49,4445435,177.11,177.70,177.05
09/11/2023,178.41,3689085,178.97,179.07,178.261
09/08/2023,178.08,3293699,178.36,179.045,177.90
09/07/2023,178.02,3257213,178.31,178.3701,177.90
09/06/2023,177.83,6427224,178.33,179.01,177.70
09/05/2023,178.64,7056834,179.33,179.4438,178.64
09/01/2023,180.11,4970732,180.80,181.12,179.51
08/31/2023,180.02,4795626,180.37,180.49,179.94
08/30/2023,180.32,6593692,180.58,180.88,180.29
08/29/2023,179.87,7576640,178.03,179.88,177.90
08/28/2023,178.13,4740683,177.65,178.73,177.51
08/25/2023,177.62,6132927,177.58,178.38,176.63
08/24/2023,177.85,5526428,177.66,178.49,177.41
08/23/2023,177.89,7949056,177.32,178.22,177.07
08/22/2023,176.10,5892540,175.83,176.25,175.31
08/21/2023,175.81,4206360,175.90,175.94,174.96
08/18/2023,175.33,6253027,175.83,176.055,175.10
08/17/2023,175.30,7937672,176.53,176.56,174.93
08/16/2023,175.57,6559418,176.62,176.945,175.56
08/15/2023,176.59,7582703,176.75,177.43,176.33
08/14/2023,177.06,9554477,176.86,177.58,176.5787
08/11/2023,177.60,5289694,177.70,178.36,177.49
08/10/2023,177.60,5934598,178.22,178.70,177.54
08/09/2023,177.79,4643998,178.68,178.92,177.78
08/08/2023,178.64,6162879,178.64,179.33,178.46
08/07/2023,179.78,4510408,180.15,180.15,179.27
08/04/2023,180.19,5326191,180.25,180.77,179.85
08/03/2023,179.54,4638874,179.44,179.95,179.28
08/02/2023,179.60,6348266,180.57,180.79,179.41
08/01/2023,180.46,6289869,180.85,181.375,180.19
07/31/2023,182.35,5496890,182.43,183.09,182.31
07/28/2023,181.86,3829197,181.48,182.27,181.25
07/27/2023,180.42,7592752,181.64,181.64,180.32
07/26/2023,183.30,6158432,182.66,183.64,182.31
07/25/2023,182.41,4090149,181.72,182.47,181.10
07/24/2023,181.40,4370026,182.22,182.54,181.34
07/21/2023,182.18,3845361,182.06,182.46,181.68
07/20/2023,182.74,4972856,183.73,183.77,182.47
07/19/2023,183.67,3911565,183.45,183.835,182.87
07/18/2023,183.64,8242597,182.79,184.23,182.32
07/17/2023,181.56,4152919,180.99,181.6307,180.64
07/14/2023,181.43,5389968,181.59,182.17,181.1101
07/13/2023,182.01,4527900,181.96,182.15,181.49
07/12/2023,181.88,7062010,181.18,181.95,181.10
07/11/2023,179.45,2819610,179.43,179.71,179.13
07/10/2023,178.78,3320497,178.37,178.92,178.2601
07/07/2023,178.64,5201148,178.38,179.65,178.35
07/06/2023,177.31,5132954,177.51,177.80,176.66
07/05/2023,177.84,5652091,179.41,179.42,177.825
07/03/2023,178.47,4085711,178.61,179.34,178.46
06/30/2023,178.27,6420904,177.69,178.53,177.32
06/29/2023,177.09,6862511,175.83,177.63,175.79
06/28/2023,177.28,5866741,177.23,177.685,176.70
06/27/2023,177.69,5036916,179.07,179.29,177.43
06/26/2023,178.51,3222050,179.05,179.075,178.42
06/23/2023,178.20,5419784,179.60,179.95,178.09
06/22/2023,177.71,7948565,178.36,178.99,177.63
06/21/2023,179.49,6702339,179.15,179.95,178.19
06/20/2023,179.75,7586229,180.06,180.09,179.22
06/16/2023,181.63,8779096,181.925,182.618,181.41
06/15/2023,181.91,6739009,180.28,182.05,180.18
06/14/2023,180.64,6807003,181.69,181.96,180.14
06/13/2023,180.54,5126686,182.10,182.43,180.165
06/12/2023,181.88,4875450,181.80,181.94,181.04
06/09/2023,182.04,4380811,182.36,182.79,181.72
06/08/2023,182.53,6394890,182.00,183.04,181.96
06/07/2023,180.15,9066528,181.94,183.00,180.15
06/06/2023,182.34,4967156,182.36,182.65,181.52
06/05/2023,182.14,5748800,180.79,182.44,180.60
06/02/2023,181.05,8726111,183.53,183.56,180.96
06/01/2023,183.76,7300542,182.81,184.21,182.72
05/31/2023,182.32,8497893,182.39,183.445,182.10
