Date,Close/Last,Volume,Open,High,Low
10/10/2023,$253.07,1085360,$249.07,$254.29,$249.07
10/09/2023,$248.95,795421,$246.16,$249.30,$244.125
10/06/2023,$245.38,1011700,$244.65,$247.3599,$241.77
10/05/2023,$245.43,896372,$244.00,$247.00,$242.53
10/04/2023,$243.36,1290406,$245.51,$245.66,$239.94
10/03/2023,$243.98,1004245,$246.00,$246.175,$242.57
10/02/2023,$247.21,1294687,$245.60,$247.395,$244.19
09/29/2023,$245.98,1529187,$250.93,$250.93,$244.8018
09/28/2023,$250.65,1065281,$247.78,$252.62,$247.19
09/27/2023,$247.26,1308601,$249.15,$251.76,$243.58
09/26/2023,$248.46,1540279,$253.26,$254.42,$248.42
09/25/2023,$254.52,726697,$251.42,$254.925,$250.76
09/22/2023,$252.27,818275,$253.17,$254.37,$251.35
09/21/2023,$253.44,1188791,$252.77,$255.28,$252.67
09/20/2023,$254.21,1084342,$255.85,$256.55,$253.66
09/19/2023,$254.29,1089676,$255.93,$257.50,$252.72
09/18/2023,$255.71,1387462,$255.68,$257.33,$253.94
09/15/2023,$256.28,4375414,$258.59,$262.61,$252.32
09/14/2023,$263.58,867019,$263.95,$264.465,$261.05
09/13/2023,$262.49,1421971,$260.27,$262.775,$259.89
09/12/2023,$260.87,1591808,$271.15,$272.66,$260.79
09/11/2023,$272.48,1042657,$273.79,$274.21,$272.05
09/08/2023,$273.58,990888,$271.89,$277.21,$271.79
09/07/2023,$271.89,1260230,$274.50,$275.885,$271.37
09/06/2023,$274.57,780331,$273.83,$276.50,$273.29
09/05/2023,$274.25,1240149,$278.89,$278.93,$271.43
09/01/2023,$280.81,966918,$279.10,$280.999,$278.16
08/31/2023,$277.30,981008,$279.62,$280.52,$277.26
08/30/2023,$279.76,538577,$280.13,$281.79,$279.30
08/29/2023,$279.35,694157,$277.79,$279.93,$276.14
08/28/2023,$277.54,662204,$274.35,$277.90,$274.00
08/25/2023,$273.28,879238,$273.57,$276.315,$272.751
08/24/2023,$272.59,1002726,$277.00,$279.97,$272.50
08/23/2023,$277.17,833688,$276.92,$277.68,$275.33
08/22/2023,$274.83,1627997,$275.57,$277.66,$274.32
08/21/2023,$274.82,1264319,$269.61,$275.12,$269.44
08/18/2023,$269.04,977898,$264.30,$269.501,$264.30
08/17/2023,$265.61,1240152,$266.12,$268.73,$264.3525
08/16/2023,$267.05,746265,$269.83,$273.00,$266.68
08/15/2023,$268.77,949164,$271.00,$272.33,$268.01
08/14/2023,$270.89,880928,$268.98,$270.95,$267.50
08/11/2023,$269.58,958184,$267.16,$270.76,$266.1699
08/10/2023,$268.05,1088828,$267.05,$269.6254,$266.02
08/09/2023,$267.10,1027522,$268.59,$270.22,$266.115
08/08/2023,$267.61,1193811,$270.93,$270.93,$265.95
08/07/2023,$272.58,952928,$270.00,$272.61,$269.725
08/04/2023,$268.69,1159188,$270.05,$271.69,$267.81
08/03/2023,$270.75,1091754,$269.00,$273.31,$268.56
08/02/2023,$269.39,1168259,$273.46,$275.8299,$268.35
08/01/2023,$273.87,1272968,$273.10,$277.60,$272.51
07/31/2023,$272.81,1600288,$275.51,$275.51,$270.21
07/28/2023,$273.25,2012038,$278.39,$278.91,$272.10
07/27/2023,$276.32,3025313,$274.00,$276.70,$265.12
07/26/2023,$282.18,1943632,$284.18,$287.51,$281.82
07/25/2023,$285.53,3057828,$284.57,$286.57,$281.78
07/24/2023,$285.18,1031938,$285.00,$287.22,$283.725
07/21/2023,$285.14,1027420,$287.70,$289.27,$284.85
07/20/2023,$286.91,1738144,$288.51,$290.00,$285.15
07/19/2023,$286.71,2637478,$288.79,$290.10,$280.48
07/18/2023,$289.74,1549534,$291.62,$293.17,$288.39
07/17/2023,$291.86,1800849,$294.78,$295.74,$289.80
07/14/2023,$296.56,1214553,$296.01,$300.07,$295.165
07/13/2023,$295.98,1262590,$295.65,$299.04,$294.07
07/12/2023,$295.24,1275355,$295.77,$296.79,$293.58
07/11/2023,$294.69,843338,$297.14,$297.69,$292.92
07/10/2023,$295.74,737426,$291.82,$295.96,$291.82
07/07/2023,$291.49,928994,$291.80,$294.84,$290.00
07/06/2023,$294.46,1206272,$297.10,$299.33,$293.44
07/05/2023,$298.35,890972,$296.66,$300.55,$295.95
07/03/2023,$297.58,932864,$300.44,$301.365,$292.02
06/30/2023,$303.48,1282736,$303.94,$304.86,$301.81
06/29/2023,$300.44,954329,$299.00,$302.925,$298.15
06/28/2023,$299.52,1226184,$297.39,$299.78,$295.83
06/27/2023,$297.60,1164354,$294.00,$298.479,$294.00
06/26/2023,$294.87,928453,$295.88,$296.82,$293.65
06/23/2023,$295.40,2007521,$292.77,$296.98,$291.60
06/22/2023,$294.40,1198082,$286.49,$294.47,$285.48
06/21/2023,$286.98,1325615,$284.36,$289.20,$281.765
06/20/2023,$285.30,999447,$289.36,$290.653,$285.04
06/16/2023,$290.08,2967799,$287.60,$291.71,$287.60
06/15/2023,$285.89,1251692,$282.94,$287.375,$282.32
06/14/2023,$284.20,2195932,$294.86,$296.89,$283.42
06/13/2023,$279.85,1096454,$277.56,$281.00,$277.12
06/12/2023,$276.24,1166024,$272.30,$276.405,$271.71
06/09/2023,$271.79,729958,$272.87,$275.00,$271.62
06/08/2023,$273.49,845286,$274.13,$275.195,$271.70
06/07/2023,$273.53,1207988,$271.80,$275.41,$267.78
06/06/2023,$271.19,1164940,$272.53,$273.235,$266.69
06/05/2023,$272.23,998992,$273.41,$275.235,$272.16
06/02/2023,$274.26,1037474,$269.50,$275.735,$269.46
06/01/2023,$267.87,895206,$264.32,$268.51,$263.69
05/31/2023,$264.19,1918064,$262.10,$264.45,$259.181
05/30/2023,$264.18,1102361,$263.54,$268.86,$262.61
05/26/2023,$264.41,975263,$264.16,$267.43,$263.77
05/25/2023,$264.09,868658,$264.94,$266.57,$262.555
05/24/2023,$264.90,1057408,$265.43,$266.45,$262.09
05/23/2023,$267.76,1168474,$274.40,$274.40,$267.0197
05/22/2023,$277.04,1236358,$282.88,$284.78,$276.87
05/19/2023,$282.47,1511957,$281.47,$285.76,$280.30
05/18/2023,$279.40,1490551,$278.28,$282.495,$277.72
05/17/2023,$275.46,949289,$277.32,$277.47,$273.01
05/16/2023,$275.57,888884,$277.56,$280.185,$275.51
05/15/2023,$277.52,769856,$275.94,$278.27,$275.22
05/12/2023,$275.87,1171814,$278.80,$280.27,$274.76
05/11/2023,$278.10,1418104,$277.94,$279.77,$275.8822
05/10/2023,$278.54,1029870,$276.10,$280.25,$275.41
05/09/2023,$274.05,1069353,$276.80,$277.135,$273.01
05/08/2023,$277.78,934572,$277.02,$279.3699,$276.28
05/05/2023,$278.06,1247863,$279.36,$281.6452,$275.62
05/04/2023,$277.63,1460333,$278.63,$280.345,$275.25
05/03/2023,$278.21,938174,$281.19,$282.325,$277.66
05/02/2023,$280.54,1018897,$282.69,$283.85,$277.96
05/01/2023,$284.01,980392,$287.91,$289.70,$283.43
04/28/2023,$287.33,1206426,$282.00,$287.46,$282.00
04/27/2023,$282.44,1254548,$278.82,$283.84,$278.82
04/26/2023,$278.07,1608248,$282.19,$282.19,$276.2909
04/25/2023,$281.99,2072582,$286.22,$288.99,$281.32
04/24/2023,$286.25,1892775,$283.86,$289.35,$283.13
04/21/2023,$281.21,4082984,$287.61,$294.02,$279.61
04/20/2023,$270.78,2227344,$271.21,$273.48,$268.72
04/19/2023,$272.99,2105176,$270.65,$273.27,$269.19
04/18/2023,$271.45,1178995,$272.79,$274.43,$270.70
04/17/2023,$271.10,1007340,$273.00,$273.34,$269.17
04/14/2023,$273.35,1084056,$272.62,$275.64,$271.81
04/13/2023,$273.41,1612618,$275.01,$275.425,$271.26
04/12/2023,$272.38,1200281,$271.83,$275.48,$269.14
04/11/2023,$271.59,1752136,$272.94,$274.08,$271.08
04/10/2023,$270.99,1008074,$269.26,$272.07,$268.51
04/06/2023,$270.59,912080,$271.30,$272.56,$269.49
04/05/2023,$271.31,1099513,$266.70,$271.75,$266.005
04/04/2023,$267.23,1103256,$264.95,$267.26,$263.87
04/03/2023,$264.16,822977,$262.94,$264.84,$261.39
03/31/2023,$263.68,1223921,$260.74,$263.68,$260.07
03/30/2023,$259.44,913033,$259.99,$261.97,$259.19
03/29/2023,$257.36,1174041,$256.93,$258.17,$254.76
03/28/2023,$254.48,608959,$253.16,$255.73,$253.16
03/27/2023,$254.41,981214,$257.67,$258.81,$253.78
03/24/2023,$254.22,1021409,$251.53,$254.27,$249.96
03/23/2023,$252.77,979229,$253.90,$256.87,$250.44
03/22/2023,$254.38,842743,$259.38,$261.72,$254.15
03/21/2023,$258.69,871584,$258.46,$259.16,$256.00
03/20/2023,$256.44,1457936,$251.83,$258.64,$251.334
03/17/2023,$250.66,1123222,$253.90,$254.66,$250.515
03/16/2023,$254.38,1210018,$244.70,$255.32,$244.70
