Date,Close/Last,Volume,Open,High,Low
10/10/2023,19.98,12114980,19.97,20.0799,19.88
10/09/2023,20.06,13077410,19.84,20.08,19.80
10/06/2023,19.73,28298500,19.66,19.8198,19.26
10/05/2023,19.25,16430490,19.32,19.40,18.98
10/04/2023,19.31,25140970,19.41,19.42,18.97
10/03/2023,19.44,32235850,19.26,19.62,19.21
10/02/2023,19.42,41002750,19.69,19.74,19.40
09/29/2023,20.34,36658570,21.39,21.4299,20.275
09/28/2023,20.74,14007740,20.64,20.84,20.5301
09/27/2023,20.70,15636840,20.71,20.80,20.54
09/26/2023,20.96,18268190,21.00,21.16,20.94
09/25/2023,21.20,14549080,21.48,21.5593,21.125
09/22/2023,21.58,11352620,21.65,21.75,21.56
09/21/2023,21.44,12395270,21.04,21.52,21.00
09/20/2023,21.34,17354040,21.32,21.63,21.3003
09/19/2023,21.27,10111170,21.37,21.40,21.1701
09/18/2023,21.30,11481340,21.22,21.32,21.05
09/15/2023,21.11,22811320,21.19,21.35,21.10
09/14/2023,20.73,26204950,20.60,20.86,20.45
09/13/2023,20.93,11886060,21.01,21.11,20.91
09/12/2023,21.13,8738452,21.00,21.22,20.97
09/11/2023,21.16,8858929,21.24,21.2699,21.04
09/08/2023,21.01,11665950,21.06,21.2399,20.9603
09/07/2023,21.05,10926890,21.08,21.17,21.01
09/06/2023,21.24,14534140,21.16,21.4101,21.10
09/05/2023,21.59,15054100,21.82,21.8899,21.56
09/01/2023,22.17,12818470,22.61,22.7009,22.15
08/31/2023,22.39,10536610,22.53,22.62,22.3448
08/30/2023,22.57,13091160,22.85,22.94,22.55
08/29/2023,22.71,19726870,22.24,22.74,22.1934
08/28/2023,22.22,7536640,22.08,22.335,22.04
08/25/2023,22.22,22742140,22.11,22.355,21.93
08/24/2023,22.11,13804070,22.20,22.31,22.055
08/23/2023,22.29,25176870,22.05,22.3375,22.03
08/22/2023,21.46,12970740,21.37,21.49,21.28
08/21/2023,21.36,12346300,21.31,21.38,21.01
08/18/2023,20.87,10430280,20.84,20.935,20.78
08/17/2023,20.80,16299580,21.06,21.08,20.71
08/16/2023,20.56,13151830,20.74,20.84,20.55
08/15/2023,20.67,11894810,20.63,20.83,20.52
08/14/2023,20.72,10036240,20.70,20.805,20.52
08/11/2023,20.80,8428788,20.82,20.96,20.7601
08/10/2023,20.83,13574860,20.88,21.10,20.77
08/09/2023,20.80,11966190,20.85,21.00,20.75
08/08/2023,20.90,16557900,20.87,20.99,20.7999
08/07/2023,21.21,11803120,21.59,21.60,21.16
08/04/2023,21.66,12397420,21.68,21.83,21.59
08/03/2023,21.63,16334790,21.65,21.75,21.5847
08/02/2023,21.75,16400830,22.19,22.22,21.695
08/01/2023,22.29,11600180,22.31,22.44,22.135
07/31/2023,22.69,14038870,22.48,22.79,22.48
07/28/2023,22.32,10629060,22.26,22.39,22.19
07/27/2023,22.11,27325220,22.50,22.52,22.06
07/26/2023,22.91,24549840,22.58,22.9699,22.50
