Date,Close/Last,Volume,Open,High,Low
10/10/2023,15.32,17314210,15.84,15.88,15.00
10/09/2023,16.11,13291680,17.35,17.635,16.11
10/06/2023,16.46,20881150,17.60,18.18,15.93
10/05/2023,16.80,17873460,17.12,18.29,16.78
10/04/2023,17.12,20540640,18.07,18.4404,17.03
10/03/2023,18.53,25327950,16.94,18.95,16.52
10/02/2023,16.26,16807430,16.26,16.785,15.6099
09/29/2023,16.21,22572740,14.85,16.25,14.71
09/28/2023,15.72,20732560,16.94,17.23,15.55
09/27/2023,16.92,26268170,17.27,18.4897,16.89
09/26/2023,18.04,30388090,16.38,18.19,16.09
09/25/2023,15.84,21982160,16.46,16.7376,15.695
09/22/2023,15.82,22114470,15.62,15.92,14.9694
09/21/2023,15.79,38021240,15.10,15.81,14.64
09/20/2023,14.11,24380120,13.00,14.17,12.90
09/19/2023,13.36,22010990,13.48,13.9688,13.24
09/18/2023,13.475,17009640,13.88,14.03,13.16
09/15/2023,13.62,24650130,13.01,13.70,12.80
09/14/2023,12.87,16294370,13.22,13.28,12.85
09/13/2023,13.49,19188860,13.72,13.78,13.35
09/12/2023,13.87,14488860,14.00,14.07,13.52
09/11/2023,13.77,12373330,13.88,14.19,13.66
09/08/2023,14.24,15587500,14.62,14.65,13.93
09/07/2023,14.72,16921610,15.45,15.69,14.58
09/06/2023,14.77,17564980,14.47,15.22,14.35
09/05/2023,14.29,11803950,14.31,14.64,14.02
09/01/2023,14.19,13410120,14.16,14.40,13.99
08/31/2023,14.49,12290680,14.95,14.98,14.39
08/30/2023,14.93,12683560,15.48,15.67,14.89
08/29/2023,15.72,16765570,16.29,16.31,15.50
08/28/2023,16.34,14238980,16.85,16.97,16.31
08/25/2023,17.40,21775100,18.25,18.905,17.11
08/24/2023,18.61,18104850,17.13,18.6762,17.01
08/23/2023,17.52,13100020,18.11,18.1694,17.44
08/22/2023,18.42,12447960,17.76,18.93,17.76
08/21/2023,18.33,13581970,18.86,19.29,18.21
08/18/2023,19.11,21677720,20.76,20.90,18.84
08/17/2023,19.83,19519030,18.16,19.86,17.97
08/16/2023,18.55,22154470,18.05,18.58,17.29
08/15/2023,18.04,21193080,17.10,18.34,17.02
