Date,Close/Last,Volume,Open,High,Low
10/10/2023,$39.82,14429730,$39.92,$40.38,$39.72
10/09/2023,$39.70,12096620,$39.11,$39.80,$39.10
10/06/2023,$39.69,13976760,$38.89,$39.89,$38.76
10/05/2023,$39.30,11820590,$38.76,$39.42,$38.60
10/04/2023,$38.97,14343460,$38.51,$39.11,$38.385
10/03/2023,$38.67,19252890,$39.38,$39.465,$38.465
10/02/2023,$39.61,15102030,$40.695,$40.755,$39.44
09/29/2023,$40.86,13124470,$41.20,$41.39,$40.58
09/28/2023,$40.91,12454560,$40.835,$41.20,$40.72
09/27/2023,$40.86,11815520,$40.63,$41.1993,$40.46
09/26/2023,$40.65,15219390,$41.05,$41.31,$40.36
09/25/2023,$41.56,10624000,$40.88,$41.62,$40.77
09/22/2023,$41.23,16783110,$42.33,$42.39,$41.15
09/21/2023,$42.32,14990850,$42.75,$43.17,$42.29
09/20/2023,$42.87,16794930,$43.40,$43.72,$42.82
09/19/2023,$43.22,15319630,$43.55,$43.741,$42.901
09/18/2023,$43.43,15849750,$42.99,$43.60,$42.77
09/15/2023,$42.95,47371770,$42.67,$43.305,$42.61
09/14/2023,$43.05,20764470,$42.81,$43.39,$42.70
09/13/2023,$42.25,15274150,$42.705,$42.88,$42.12
09/12/2023,$42.54,18393940,$41.41,$42.97,$41.27
09/11/2023,$41.33,15053850,$41.38,$41.715,$41.21
09/08/2023,$41.00,13922600,$40.45,$41.12,$40.33
09/07/2023,$40.43,13800980,$40.73,$41.02,$40.30
09/06/2023,$41.02,18775430,$41.21,$41.395,$40.60
09/05/2023,$41.54,14337170,$41.65,$42.28,$41.305
09/01/2023,$41.65,12890290,$41.55,$41.99,$41.51
08/31/2023,$41.29,21534920,$41.68,$41.705,$41.11
08/30/2023,$41.54,12536290,$42.06,$42.13,$41.4721
08/29/2023,$42.00,14404780,$41.87,$42.37,$41.65
08/28/2023,$41.88,10314540,$41.41,$42.07,$41.29
08/25/2023,$41.23,12534670,$41.64,$41.80,$40.765
08/24/2023,$41.43,10363280,$41.45,$42.18,$41.385
08/23/2023,$41.61,11927390,$41.56,$41.64,$41.22
08/22/2023,$41.50,13634780,$42.455,$42.5661,$41.43
08/21/2023,$42.49,12600400,$42.65,$42.865,$42.12
08/18/2023,$42.50,10797340,$42.10,$42.79,$42.05
08/17/2023,$42.47,12685970,$42.47,$42.745,$42.26
