date,apple_close_last,google_close_last,meta_close_last,msft_close_last,nvda_close_last
9/1/2023,$189.46 ,$135.66 ,$296.38 ,$328.66 ,$485.09 
6/1/2023,$180.09 ,$123.72 ,$272.61 ,$332.58 ,$397.70 
3/1/2023,$145.31 ,$90.36 ,$173.42 ,$246.27 ,$226.98 
12/1/2022,$148.31 ,$100.99 ,$120.44 ,$254.69 ,$171.35 
9/1/2022,$157.96 ,$109.74 ,$165.36 ,$260.40 ,$139.37 
6/1/2022,$148.71 ,$113.89 ,$188.64 ,$272.42 ,$183.20 
3/1/2022,$163.20 ,$134.06 ,$203.49 ,$294.95 ,$234.77 
12/1/2021,$164.77 ,$141.05 ,$310.60 ,$330.08 ,$314.35 
9/1/2021,$152.51 ,$145.22 ,$382.05 ,$301.83 ,$224.41 
6/1/2021,$124.28 ,$119.06 ,$329.13 ,$247.40 ,$162.65 
3/1/2021,$127.79 ,$103.48 ,$264.91 ,$236.94 ,$138.42 
12/1/2020,$122.72 ,$89.77 ,$286.55 ,$216.21 ,$133.90 
9/1/2020,$134.18 ,$82.75 ,$295.44 ,$227.27 ,$138.21 
6/1/2020,$80.46 ,$71.74 ,$231.91 ,$182.83 ,$88.06 
3/1/2019,$43.74 ,$57.43 ,$162.28 ,$112.53 ,$39.11 
,,,,,
,,,,,
,,,,,
,33315.04%,13621.80%,8263.50%,19206.43%,114032.22%
